panel_label,metric_name,metric_label,target_mode,endpoint_name,endpoint_label,sample_filter,n_pairs,mean_with_amm,mean_without_amm,mean_delta_with_minus_without,median_delta_with_minus_without,share_positive_delta,permutation_stat,permutation_p_value,ci_level,delta_ci_lo,delta_ci_hi
MM Withdrawal (Isolated),price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.7133333333333334,0.7466666666666667,-0.03333333333333333,0.0,0.18,-0.03333333333333333,0.40735926407359263,0.95,-0.10333333333333333,0.03341666666666621
MM Withdrawal (Isolated),price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,282.9766666666667,265.25333333333333,17.723333333333333,0.0,0.49,17.723333333333333,0.34896510348965104,0.95,-20.192416666666663,52.77866666666664
MM Withdrawal (Isolated),price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,160,159.99375,150.3875,9.60625,14.0,0.51875,9.60625,0.5313468653134686,0.95,-18.07015625,40.19421875
MM Withdrawal (Isolated),price_resilience,Price Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,261.72333333333336,242.7,19.023333333333333,8.5,0.5233333333333333,19.023333333333333,0.23107689231076892,0.95,-12.045999999999996,51.38666666666665
Flash Crash,price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.8066666666666666,0.9133333333333333,-0.10666666666666667,0.0,0.07,-0.10666666666666667,0.00039996000399960006,0.95,-0.16,-0.05333333333333334
Flash Crash,price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,227.69,166.29,61.4,21.0,0.5833333333333334,61.4,9.999000099990002e-05,0.95,30.665333333333344,92.96783333333332
Flash Crash,price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,221,141.98190045248867,126.63800904977376,15.343891402714933,9.0,0.5520361990950227,15.343891402714933,0.19918008199180082,0.95,-7.869796380090496,39.4893665158371
Flash Crash,price_resilience,Price Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,201.42,151.03,50.39,24.5,0.6133333333333333,50.39,0.0012998700129987,0.95,20.9995,79.38741666666665
Dealer Liquidity Crisis,price_resilience,Price Resilience,fair_value_gap,recovered_indicator,Recovered Indicator,all,300,1.0,0.9866666666666667,0.013333333333333334,0.0,0.013333333333333334,0.013333333333333334,0.12448755124487551,0.95,0.0033333333333333335,0.02666666666666667
Dealer Liquidity Crisis,price_resilience,Price Resilience,fair_value_gap,time_observed_steps,Observed Time,all,300,43.016666666666666,56.85666666666667,-13.84,-4.0,0.45,-13.84,0.0026997300269973002,0.95,-23.69708333333333,-4.76
Dealer Liquidity Crisis,price_resilience,Price Resilience,fair_value_gap,recovery_steps_both_recovered,Recovery Steps,both_recovered,296,43.060810810810814,49.516891891891895,-6.456081081081081,-3.0,0.4560810810810811,-6.456081081081081,0.049095090490950906,0.95,-13.256841216216216,-0.25641891891892077
Dealer Liquidity Crisis,price_resilience,Price Resilience,fair_value_gap,half_life_steps,Half-life,all,300,9.52,10.103333333333333,-0.5833333333333334,1.0,0.5733333333333334,-0.5833333333333334,0.9692030796920308,0.95,-5.163916666666665,2.2005833333333302
Funding Liquidity Shock,price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.87,0.9133333333333333,-0.043333333333333335,0.0,0.06666666666666667,-0.043333333333333335,0.10168983101689831,0.95,-0.09008333333333318,0.0033333333333333335
Funding Liquidity Shock,price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,186.14666666666668,151.93333333333334,34.21333333333333,9.0,0.5433333333333333,34.21333333333333,0.0150984901509849,0.95,7.025750000000001,61.67349999999998
Funding Liquidity Shock,price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,241,124.43983402489627,105.46473029045643,18.975103734439834,7.0,0.5394190871369294,18.975103734439834,0.04409559044095591,0.95,0.12365145228215914,36.6847510373444
Funding Liquidity Shock,price_resilience,Price Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,155.58,129.9,25.68,8.0,0.5566666666666666,25.68,0.07599240075992401,0.95,-3.203749999999999,54.02483333333329
High-Vol Stress,price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.8933333333333333,0.9466666666666667,-0.05333333333333334,0.0,0.05,-0.05333333333333334,0.027797220277972202,0.95,-0.09666666666666666,-0.01
High-Vol Stress,price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,283.20666666666665,238.75666666666666,44.45,28.5,0.5966666666666667,44.45,9.999000099990002e-05,0.95,22.107500000000005,66.19399999999999
High-Vol Stress,price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,253,244.97628458498025,214.5494071146245,30.42687747035573,18.0,0.5849802371541502,30.42687747035573,0.0010998900109989002,0.95,11.955632411067196,47.74130434782607
