panel_label,series_key,series_label,amm_enabled,target_mode,n_obs,recovered_share,km_median_steps,mean_observed_steps,mean_recovery_steps,mean_normalized_avg_impact,mean_normalized_auc_abs,mean_initial_dislocation_pct,mean_reference_dislocation_step
MM Withdrawal (Isolated),with_amm,With AMM,1,pre_shock_baseline,300,0.7133333333333334,191.0,282.9766666666667,155.57476635514018,-0.005281928742578706,0.8367745388667501,-0.014373688987022876,5.776666666666666
MM Withdrawal (Isolated),without_amm,Without AMM,0,pre_shock_baseline,300,0.7466666666666667,150.0,265.25333333333333,151.67857142857142,-0.02192836493132863,0.7484758498123669,-0.032191377731052434,5.913333333333333
Flash Crash,with_amm,With AMM,1,pre_shock_baseline,300,0.8066666666666666,117.0,227.69,138.45867768595042,-0.11289333128116642,0.6568821618852025,-0.4042888447949155,5.293333333333333
Flash Crash,without_amm,Without AMM,0,pre_shock_baseline,300,0.9133333333333333,85.0,166.29,125.13503649635037,-0.0755480944342405,0.5141770831959012,-0.6120070016495789,4.63
Dealer Liquidity Crisis,with_amm,With AMM,1,fair_value_gap,300,1.0,37.0,43.016666666666666,43.016666666666666,0.34653903402711067,0.11068074290863722,3.8944937733076106,3.046666666666667
Dealer Liquidity Crisis,without_amm,Without AMM,0,fair_value_gap,300,0.9866666666666667,41.0,56.85666666666667,49.516891891891895,0.2412431629561534,0.12211003390825724,3.1668395957022386,2.6733333333333333
Funding Liquidity Shock,with_amm,With AMM,1,pre_shock_baseline,300,0.87,97.0,186.14666666666668,124.30651340996168,-0.011204574226122217,0.5501440329121603,0.07070458142865792,6.656666666666666
Funding Liquidity Shock,without_amm,Without AMM,0,pre_shock_baseline,300,0.9133333333333333,81.0,151.93333333333334,109.41605839416059,0.02969717998891026,0.4793131498151423,0.13850214974117364,6.203333333333333
High-Vol Stress,with_amm,With AMM,1,pre_shock_baseline,300,0.8933333333333333,243.0,283.20666666666665,245.38059701492537,0.020366202444691887,0.8465118855686775,0.04247150796290245,6.953333333333333
High-Vol Stress,without_amm,Without AMM,0,pre_shock_baseline,300,0.9466666666666667,222.0,238.75666666666666,218.4049295774648,0.04592748473005211,0.6856446246657142,0.47330702950111314,6.383333333333334
