panel_label,series_key,amm_enabled,preset,seed,metric_name,metric_label,metric_note,analysis_target_mode,recovered,is_censored,recovery_steps,time_observed_steps,half_life_steps,legacy_recovery_steps,initial_dislocation_pct,reference_dislocation_pct,reference_dislocation_step,target_abs_deviation_pct,avg_change_pct,normalized_avg_impact,normalized_auc_abs,trough_change_pct,peak_abs_change_pct
MM Withdrawal (Isolated),with_amm,1,mm_withdrawal,42,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,True,False,48.0,48.0,1.0,nan,742.0815739735269,742.0815739735269,0.0,148.41631479470536,162.90377952125922,0.21952273878595274,0.1424394177819227,-60.737896515355814,742.0815739735269
MM Withdrawal (Isolated),with_amm,1,mm_withdrawal,42,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,71.0,71.0,10.0,5.0,-68.68216298322861,-68.68216298322861,0.0,13.736432596645718,-36.943197566569616,-0.5378863443131621,0.17536452298073044,-68.68216298322861,68.68216298322861
MM Withdrawal (Isolated),with_amm,1,mm_withdrawal,42,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,True,False,30.0,30.0,557.0,380.0,381.0096855665657,381.0096855665657,0.0,76.20193711331312,62.02977827122464,0.16280367828178874,0.15710512479695724,-79.11524449028408,471.78720705267125
MM Withdrawal (Isolated),with_amm,1,mm_withdrawal,42,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,30.0,600.0,380.0,742.0815739735269,742.0815739735269,3.0,148.41631479470536,46.943824932101705,-0.20922728339864927,0.5826922134798325,-79.11524449028408,742.0815739735269
MM Withdrawal (Isolated),with_amm,1,mm_withdrawal,43,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,True,False,7.0,7.0,7.0,nan,503.23412123627793,503.23412123627793,5.0,100.64682424725557,37.618496820922445,0.07475347007175583,0.1389426254350381,-77.89608284172071,503.23412123627793
MM Withdrawal (Isolated),with_amm,1,mm_withdrawal,43,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,86.0,86.0,12.0,7.0,-68.34828131449332,-68.34828131449332,0.0,13.66965626289866,-32.948999854063445,-0.4820750313011393,0.17434700230658595,-68.34828131449332,68.34828131449332
MM Withdrawal (Isolated),with_amm,1,mm_withdrawal,43,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,True,False,29.0,29.0,7.0,nan,360.2104528357627,360.2104528357627,5.0,72.04209056715251,16.653819718346227,0.046233582582733954,0.15798820246140827,-83.13429863029833,360.2104528357627
MM Withdrawal (Isolated),with_amm,1,mm_withdrawal,43,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,True,False,86.0,86.0,297.0,7.0,503.23412123627793,503.23412123627793,8.0,100.64682424725557,5.092913012271989,-0.3180993756140436,0.27924902104282195,-83.13429863029833,503.23412123627793
MM Withdrawal (Isolated),with_amm,1,mm_withdrawal,44,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,True,False,22.0,22.0,530.0,458.0,503.37931271369564,503.37931271369564,3.0,100.67586254273911,21.138689010432678,0.04199355928330654,0.134586993816641,-75.15467673941862,797.7413854040366
MM Withdrawal (Isolated),with_amm,1,mm_withdrawal,44,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,36.0,36.0,12.0,5.0,-78.50856373764101,-78.50856373764101,0.0,15.701712747528198,-38.68753251465747,-0.4927810505353659,0.1478118476091312,-78.50856373764101,78.50856373764101
MM Withdrawal (Isolated),with_amm,1,mm_withdrawal,44,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,True,False,22.0,22.0,530.0,314.0,344.8167104779814,344.8167104779814,3.0,68.96334209559627,2.617995848966838,0.0075924274242330034,0.16958053632421852,-81.68380199536605,561.8231044736469
MM Withdrawal (Isolated),with_amm,1,mm_withdrawal,44,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,22.0,536.0,458.0,503.37931271369564,503.37931271369564,3.0,100.67586254273911,-3.7432875294663983,-0.12070442633431426,0.27677137745636593,-81.68380199536605,797.7413854040366
MM Withdrawal (Isolated),with_amm,1,mm_withdrawal,45,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,True,False,131.0,131.0,586.0,nan,597.442808869845,597.442808869845,3.0,119.48856177396897,84.74913909396773,0.14185314114715644,0.17780875107458785,-67.08291717925685,1384.4129725356445
MM Withdrawal (Isolated),with_amm,1,mm_withdrawal,45,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,31.0,31.0,12.0,8.0,-83.73555017955758,-83.73555017955758,3.0,16.74711003591151,-37.06138688880934,-0.442600386685668,0.16332992372572974,-83.73555017955758,83.73555017955758
MM Withdrawal (Isolated),with_amm,1,mm_withdrawal,45,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,True,False,131.0,131.0,586.0,nan,349.57372629411725,349.57372629411725,3.0,69.91474525882343,37.00102695308207,0.1058461325035363,0.2267358053213854,-78.72390652374858,892.7498446039434
MM Withdrawal (Isolated),with_amm,1,mm_withdrawal,45,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,True,False,131.0,131.0,586.0,8.0,597.442808869845,597.442808869845,9.0,119.48856177396897,21.111316198686616,-0.14726652574365434,0.3838700284811295,-83.73555017955758,1384.4129725356445
