panel_label,series_key,series_label,amm_enabled,metric_name,metric_label,target_mode,n_obs,recovered_share,km_median_steps,mean_observed_steps,mean_recovery_steps,mean_normalized_avg_impact,mean_normalized_auc_abs,mean_initial_dislocation_pct,mean_reference_dislocation_step
MM Withdrawal (Isolated),with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.79,62.0,187.57666666666665,77.94514767932489,0.2269267065466544,0.20623364439802344,542.4661333326972,4.12
MM Withdrawal (Isolated),with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,300,0.96,52.0,101.10333333333334,80.31597222222223,-0.5372472149717008,0.1968308066321226,-68.90463055956317,1.27
MM Withdrawal (Isolated),with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.7933333333333333,62.0,189.42666666666668,82.47058823529412,0.23741108448122802,0.2020612656158989,459.429201465426,3.86
MM Withdrawal (Isolated),with_amm,With AMM,1,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.52,186.0,129.34666666666666,193.75641025641025,-0.019547838171599236,0.3604750638781991,585.9504080225578,7.1
MM Withdrawal (Isolated),without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.9133333333333333,39.0,118.86666666666666,73.21167883211679,0.25534280783218966,0.15622919785134545,639.4075465195641,3.93
MM Withdrawal (Isolated),without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,300,0.9666666666666667,55.0,100.82666666666667,83.61379310344827,-0.524683398319369,0.19421650739773588,-72.36505224044254,1.3633333333333333
MM Withdrawal (Isolated),without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.8866666666666667,38.0,131.66666666666666,71.80451127819549,0.2648933093567528,0.16059714364683844,533.5312174375395,3.6966666666666668
MM Withdrawal (Isolated),without_amm,Without AMM,0,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.6533333333333333,153.0,144.57666666666665,189.64285714285714,-0.006593911515438828,0.3148796746770719,659.6306698498078,6.923333333333333
Flash Crash,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.8666666666666667,45.0,130.06666666666666,57.76923076923077,0.21773203315898793,0.16698406714020972,716.0699560273647,3.8033333333333332
Flash Crash,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,300,0.97,47.0,82.79666666666667,66.80068728522336,-0.6319247647943587,0.1816673096050618,-77.28574993908722,1.53
Flash Crash,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.8766666666666667,46.0,136.74333333333334,71.5703422053232,0.23770089164394884,0.16181395041176952,697.4198998844431,3.4066666666666667
Flash Crash,with_amm,With AMM,1,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.6333333333333333,117.0,123.31333333333333,164.69473684210527,-0.07234629281814711,0.2918368722605608,866.4435009389091,6.783333333333333
Flash Crash,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.93,37.0,84.42666666666666,45.62007168458781,0.2741277568151344,0.1278336037861584,870.2938274562553,3.506666666666667
Flash Crash,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,300,0.96,48.0,89.48333333333333,68.21180555555556,-0.6235903085228736,0.17951543476173182,-81.31114237940656,2.0033333333333334
Flash Crash,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.95,35.0,78.30333333333333,50.84561403508772,0.2757851157228618,0.12286099699738917,833.4773199521284,3.3366666666666664
Flash Crash,without_amm,Without AMM,0,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.81,104.0,135.94,157.2880658436214,-0.037306382604779496,0.23609677968529502,982.8796888716065,6.113333333333333
Dealer Liquidity Crisis,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.9533333333333334,42.0,76.92,51.31468531468531,0.23718378458882644,0.13075626438003224,1085.2143557202726,4.41
Dealer Liquidity Crisis,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,300,0.99,67.0,81.64,76.4040404040404,-0.8082455951611606,0.18604241526270704,-83.99188675891148,3.59
Dealer Liquidity Crisis,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.9533333333333334,46.0,82.17666666666666,56.82867132867133,0.2517051395821363,0.1297734259382078,828.7713956000364,4.576666666666667
