panel_label,series_key,series_label,amm_enabled,metric_name,metric_label,target_mode,endpoint_name,endpoint_label,sample_filter,n_used,mean,std,median,ci_level,ci_lo,ci_hi
MM Withdrawal (Isolated),with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.7133333333333334,0.4529600404188834,1.0,0.95,0.6633333333333333,0.7633333333333333
MM Withdrawal (Isolated),with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,282.9766666666667,230.52351962266152,191.0,0.95,256.31941666666665,307.9336666666666
MM Withdrawal (Isolated),with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.8367745388667501,0.5993358156637857,0.6463434851286767,0.95,0.7696029262012554,0.9048560680025975
MM Withdrawal (Isolated),with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.005281928742578697,0.710591248772677,-0.08826274228287942,0.95,-0.08394195636105284,0.07712661315506443
MM Withdrawal (Isolated),with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,214,155.57476635514018,133.0814693424277,111.0,0.95,138.25864485981307,173.50151869158879
MM Withdrawal (Isolated),without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.7466666666666667,0.4356468556430324,1.0,0.95,0.6933333333333334,0.7933333333333333
MM Withdrawal (Isolated),without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,265.25333333333333,226.20654387201967,150.0,0.95,241.3525833333333,292.5875833333333
MM Withdrawal (Isolated),without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.748475849812367,0.5511912454664908,0.5768782535009214,0.95,0.6881054507647032,0.8134371417762002
MM Withdrawal (Isolated),without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.0219283649313286,0.6937182204933733,-0.06985660717276582,0.95,-0.10064726147473455,0.06054972394412796
MM Withdrawal (Isolated),without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,224,151.67857142857142,132.14373980348248,105.5,0.95,134.30345982142856,169.05368303571424
Flash Crash,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.8066666666666666,0.39557192271742875,1.0,0.95,0.7633333333333333,0.85
Flash Crash,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,227.69,216.46807769786142,116.0,0.95,204.22566666666665,252.0308333333333
Flash Crash,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.6568821618852027,0.5013566108080242,0.510615464711286,0.95,0.6040131555809933,0.7144864788598835
Flash Crash,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.11289333128116635,0.699154984048908,-0.2497090803301973,0.95,-0.19067729176155654,-0.03211985517176561
Flash Crash,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,242,138.45867768595042,129.54045951179265,85.5,0.95,123.06105371900827,155.05836776859505
Flash Crash,without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9133333333333333,0.28181605677298177,1.0,0.95,0.88,0.9433333333333334
Flash Crash,without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,166.29,181.1658802143664,84.5,0.95,147.2555,187.151
