panel_label,metric_name,metric_label,target_mode,endpoint_name,endpoint_label,sample_filter,n_pairs,mean_with_amm,mean_without_amm,mean_delta_with_minus_without,median_delta_with_minus_without,share_positive_delta,permutation_stat,permutation_p_value,ci_level,delta_ci_lo,delta_ci_hi
MM Withdrawal,price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.7433333333333333,0.7033333333333334,0.04,0.0,0.21333333333333335,0.04,0.3106689331066893,0.95,-0.03,0.10666666666666667
MM Withdrawal,price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,290.66,288.1333333333333,2.526666666666667,0.0,0.4633333333333333,2.526666666666667,0.8939106089391061,0.95,-33.73741666666665,39.16774999999999
MM Withdrawal,price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,159,184.0566037735849,153.53459119496856,30.52201257861635,8.0,0.5471698113207547,30.52201257861635,0.0821917808219178,0.95,-2.0190251572327043,63.48506289308175
MM Withdrawal,price_resilience,Price Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,231.55,232.86666666666667,-1.3166666666666667,-0.5,0.49666666666666665,-1.3166666666666667,0.9359064093590641,0.95,-31.535333333333327,28.81099999999998
Flash Crash,price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.82,0.8733333333333333,-0.05333333333333334,0.0,0.11,-0.05333333333333334,0.0988901109889011,0.95,-0.11333333333333333,0.0033333333333333335
Flash Crash,price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,212.14666666666668,179.40666666666667,32.74,14.5,0.54,32.74,0.057694230576942306,0.95,0.6170000000000111,66.50599999999999
Flash Crash,price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,213,128.11267605633802,120.33333333333333,7.779342723004695,6.0,0.5305164319248826,7.779342723004695,0.49945005499450057,0.95,-14.827347417840373,28.85704225352111
Flash Crash,price_resilience,Price Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,183.56666666666666,171.45,12.116666666666667,8.0,0.5266666666666666,12.116666666666667,0.44055594440555945,0.95,-20.578166666666664,43.5153333333333
Dealer Liquidity Crisis,price_resilience,Price Resilience,fair_value_gap,recovered_indicator,Recovered Indicator,all,300,1.0,0.9766666666666667,0.023333333333333334,0.0,0.023333333333333334,0.023333333333333334,0.019498050194980503,0.95,0.006666666666666667,0.04
Dealer Liquidity Crisis,price_resilience,Price Resilience,fair_value_gap,time_observed_steps,Observed Time,all,300,51.166666666666664,77.69,-26.523333333333333,-11.0,0.38666666666666666,-26.523333333333333,0.00019998000199980003,0.95,-41.23775,-12.376000000000003
