panel_label,series_key,series_label,amm_enabled,target_mode,n_obs,recovered_share,km_median_steps,mean_observed_steps,mean_recovery_steps,mean_normalized_avg_impact,mean_normalized_auc_abs,mean_initial_dislocation_pct,mean_reference_dislocation_step
MM Withdrawal,with_amm,With AMM,1,pre_shock_baseline,300,0.7433333333333333,202.0,290.66,183.847533632287,-0.012515768545167439,0.7249589121909182,0.03804685296746949,5.943333333333333
MM Withdrawal,without_amm,Without AMM,0,pre_shock_baseline,300,0.7033333333333334,201.0,288.1333333333333,156.58767772511848,0.02100381885024573,0.7295222493843834,0.019676399221360073,5.653333333333333
Flash Crash,with_amm,With AMM,1,pre_shock_baseline,300,0.82,105.0,212.14666666666668,127.00813008130082,0.008794893307083322,0.5703103910947781,-0.19924353703697795,4.566666666666666
Flash Crash,without_amm,Without AMM,0,pre_shock_baseline,300,0.8733333333333333,85.0,179.40666666666667,118.40458015267176,-0.08859555741716418,0.4924840622266821,-0.5017075205236045,5.093333333333334
Dealer Liquidity Crisis,with_amm,With AMM,1,fair_value_gap,300,1.0,36.0,51.166666666666664,51.166666666666664,0.2773649871843043,0.11778861854160695,3.255995103435559,3.13
Dealer Liquidity Crisis,without_amm,Without AMM,0,fair_value_gap,300,0.9766666666666667,44.0,77.69,65.21160409556315,0.18697026752872764,0.13450835648225679,2.225170254315584,3.263333333333333
Funding Liquidity Shock,with_amm,With AMM,1,pre_shock_baseline,300,0.8966666666666666,78.0,159.04666666666665,108.23048327137546,-0.08347180666828112,0.49433866037890795,-0.24769612391724394,6.843333333333334
Funding Liquidity Shock,without_amm,Without AMM,0,pre_shock_baseline,300,0.92,71.0,146.56333333333333,107.1340579710145,0.011916115507063462,0.41115833957796505,0.23669456608584216,6.333333333333333
High-Vol Stress,with_amm,With AMM,1,pre_shock_baseline,300,0.97,224.0,230.26,218.82474226804123,-0.04533969852677508,0.6240042804659509,0.1938582525553638,6.183333333333334
High-Vol Stress,without_amm,Without AMM,0,pre_shock_baseline,300,0.99,214.0,200.28,196.24242424242425,-0.007391924409423112,0.4969731858359851,0.34980803379537706,5.983333333333333
