panel_label,series_key,amm_enabled,preset,seed,metric_name,metric_label,metric_note,analysis_target_mode,recovered,is_censored,recovery_steps,time_observed_steps,half_life_steps,legacy_recovery_steps,initial_dislocation_pct,reference_dislocation_pct,reference_dislocation_step,target_abs_deviation_pct,avg_change_pct,normalized_avg_impact,normalized_auc_abs,trough_change_pct,peak_abs_change_pct
MM Withdrawal,with_amm,1,mm_withdrawal,42,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,555.0,nan,603.9328035068772,603.9328035068772,5.0,50.0,176.78918217123572,0.2927298883992854,0.1920040931550855,-67.07502467352076,873.0293022251237
MM Withdrawal,with_amm,1,mm_withdrawal,42,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,13.0,13.0,17.0,13.0,-76.36886395736272,-76.36886395736272,5.0,50.0,-52.653554124010405,-0.689463629489202,0.18689560258495275,-76.36886395736272,76.36886395736272
MM Withdrawal,with_amm,1,mm_withdrawal,42,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,False,True,nan,600.0,182.0,nan,403.6525995278901,403.6525995278901,5.0,50.0,149.19752869280492,0.36961864947062284,0.23842105063702856,-76.44270968768873,624.2250140498519
MM Withdrawal,with_amm,1,mm_withdrawal,42,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,13.0,592.0,13.0,603.9328035068772,603.9328035068772,9.0,50.0,68.13549338312254,-0.14265581503723979,0.23210390399180084,-76.44270968768873,873.0293022251237
MM Withdrawal,with_amm,1,mm_withdrawal,43,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,403.0,nan,520.9964070968106,520.9964070968106,8.0,50.0,142.4313367578015,0.27338257004781064,0.22911301093846165,-72.01046569819651,1793.0433212886599
MM Withdrawal,with_amm,1,mm_withdrawal,43,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,5.0,5.0,25.0,5.0,-66.92760191947251,-66.92760191947251,3.0,50.0,-37.18786169909261,-0.5556431223075519,0.2165134894389762,-83.58040864410513,83.58040864410513
MM Withdrawal,with_amm,1,mm_withdrawal,43,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,False,True,nan,600.0,403.0,nan,311.4326549057388,311.4326549057388,8.0,50.0,122.98271169454422,0.39489343765754864,0.27699977381340685,-81.75955161621866,1133.6739374655122
MM Withdrawal,with_amm,1,mm_withdrawal,43,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,5.0,403.0,5.0,520.9964070968106,520.9964070968106,9.0,50.0,57.326078865943295,0.2553974205064608,0.3065083423446899,-83.58040864410513,1793.0433212886599
MM Withdrawal,with_amm,1,mm_withdrawal,44,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,5.0,nan,1173.6358818303077,1173.6358818303077,4.0,50.0,269.62549154451756,0.2297352149152354,0.146907432740559,-67.20442125594126,1173.6358818303077
MM Withdrawal,with_amm,1,mm_withdrawal,44,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,12.0,12.0,12.0,12.0,-72.33167971902951,-72.33167971902951,0.0,50.0,-37.092186125129544,-0.5128069231796242,0.3728303796541211,-72.33167971902951,72.33167971902951
