panel_label,series_key,series_label,amm_enabled,metric_name,metric_label,target_mode,n_obs,recovered_share,km_median_steps,mean_observed_steps,mean_recovery_steps,mean_normalized_avg_impact,mean_normalized_auc_abs,mean_initial_dislocation_pct,mean_reference_dislocation_step
MM Withdrawal,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.05333333333333334,nan,579.6766666666666,218.9375,0.22014463639749438,0.2058518229614728,706.7623843707391,3.4566666666666666
MM Withdrawal,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,300,1.0,10.0,11.173333333333334,11.173333333333334,-0.561369411970397,0.24559626155667885,-72.31373975982754,1.7266666666666666
MM Withdrawal,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.14333333333333334,nan,560.3366666666667,323.27906976744185,0.22739712761721292,0.20475669294044352,585.84449218964,3.5533333333333332
MM Withdrawal,with_amm,With AMM,1,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.013333333333333334,168.0,15.293333333333333,322.0,-0.03158585412521444,0.3452909224123784,737.3755207951809,6.963333333333333
MM Withdrawal,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.08,nan,575.8666666666667,298.3333333333333,0.22376660383579236,0.19782114063384118,638.7759406493207,3.56
MM Withdrawal,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,300,1.0,10.0,11.486666666666666,11.486666666666666,-0.5588199478574951,0.2554154877149923,-73.68875899220517,1.9933333333333334
MM Withdrawal,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.18333333333333332,nan,548.3233333333334,318.1272727272727,0.23479136913206125,0.1972639607294208,544.5701830018695,3.63
MM Withdrawal,without_amm,Without AMM,0,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.02666666666666667,361.0,21.64666666666667,391.125,-0.019814539009848843,0.3450057096156593,664.7048664970322,6.68
Flash Crash,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.023333333333333334,nan,593.2266666666667,309.7142857142857,0.2367342544370641,0.14915534274991393,921.4644961441825,3.2533333333333334
Flash Crash,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,300,1.0,15.0,16.34,16.34,-0.6207179058835633,0.23148615450513518,-81.87671747616284,1.6833333333333333
Flash Crash,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.13333333333333333,nan,566.2033333333334,346.525,0.23420853987034201,0.1458134279276691,975.44992680295,2.97
Flash Crash,with_amm,With AMM,1,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.006666666666666667,383.0,18.21,410.0,-0.035245054567268334,0.2741913290693741,1163.142791627812,5.99
Flash Crash,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.05333333333333334,nan,585.5933333333334,329.875,0.229973642424804,0.1486240874071254,841.5412599981397,3.1366666666666667
Flash Crash,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,300,0.9966666666666667,15.0,18.08,16.13377926421405,-0.6096907409293175,0.2471688401703725,-82.13520536025145,1.9266666666666667
Flash Crash,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.23666666666666666,nan,527.7266666666667,294.61971830985914,0.2358216872023271,0.13987154427859147,776.030960613264,3.27
Flash Crash,without_amm,Without AMM,0,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.03333333333333333,445.0,29.49,417.0,-0.05812274217983743,0.2570371335206928,919.8638775648463,6.293333333333333
Dealer Liquidity Crisis,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.06666666666666667,nan,582.11,331.65,0.2705598230144626,0.12274362620597655,1132.203573469595,3.18
Dealer Liquidity Crisis,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,300,1.0,31.0,31.536666666666665,31.536666666666665,-0.7767063456053094,0.22170407082640387,-86.63887311951989,2.236666666666667
Dealer Liquidity Crisis,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.16,nan,542.94,243.375,0.2817308619622462,0.13109412099853274,853.8237535600441,3.29
Dealer Liquidity Crisis,with_amm,With AMM,1,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.02666666666666667,374.0,37.663333333333334,408.625,0.013237331638925815,0.1483326091431301,1148.7466501165836,4.97
Dealer Liquidity Crisis,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.08,nan,577.0266666666666,312.8333333333333,0.29224584996157305,0.1265380514219479,1011.4904082169388,3.7066666666666666
Dealer Liquidity Crisis,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,300,0.9966666666666667,33.0,35.04,33.1505016722408,-0.773407589550055,0.24420731631645823,-87.42814300539145,2.65
